,Rank,Station ID,Company Name,Location,Domain,Branch Preferences,Facilities,Projects
29,1,2666,Happiest Minds Technologies,Bangalore,IT,Any,"AccomAddressforGirls: Not Applicable
StartTime:  9:00AM
Stationary: -
SubsidizedLunch: -
Travel: -
Weekdays: 
AccomAddressforBoys: Not Applicable
TillTime:  5:00PM
Accomodation: Not Applicable
ToOffice: -
FieldTA: -
OtherInfo: -
OnOffice: -
StationAddress: Happiest Minds, Bangalore
StationFacilitiesId: 9247
Stipend: 0
ContactDetailsForBoys: 
ContactDetailsForGirls: 
Status: Active
Medical: -
StipendForPG: 0
RemarkforAccommodation: Not Applicable
FacultyId: 0
CompanyId: 2393
FieldDA: -
","Project: 0
Title: -
Description: -
Skills:  - 
Students Required: 22
Min CGPA: 0
Max CGPA: 0

"
70,2,5600,Swiggy - Software Development,Bangalore,IT,Any,Unavailable,"Project: 0
Title: Software Dev Engineers
Description: -
Skills:  - 
Students Required: 10
Min CGPA: 0
Max CGPA: 0

"
7,3,5955,CEERI Pilani - App/AR/VR,Pilani,Electronics,"A3 , A7",Unavailable,"Project: 0
Title: &Double;AR-VR Virtual Labs. - Implementation of RISC-V based Systems on FPGAs &Double;
Description: 
-
Skills:  - 
Students Required: 2
Min CGPA: 0
Max CGPA: 0

"
10,4,5928,CEERI Pilani - Machine Learning/DSP/AI,Pilani,Electronics,"A3 , A7 , AA",Unavailable,"Project: 0
Title: &Double;Advanced Signal Processing for  Biomedical Signals Deep Learning and computer vision based video analytics&Double;
Description: -
Skills:  - 
Students Required: 5
Min CGPA: 0
Max CGPA: 0

Project: 1
Title: Development of an area Specific AL based automated system to predict quality and diseases of apples and to suggest the treatment method before packaging
Description: -
Skills:  - 
Students Required: 3
Min CGPA: 0
Max CGPA: 0

Project: 2
Title: Resource Constrained AI (Optimization of deep learning algorithms for real time embedded implementation)
Description: -
Skills:  - 
Students Required: 3
Min CGPA: 0
Max CGPA: 0

Project: 3
Title: Resource Constrained AI (CapsNet for Computer-vision applications)
Description: -
Skills:  - 
Students Required: 4
Min CGPA: 0
Max CGPA: 0

Project: 4
Title: Resource Constrained AI (Recognition of Anomalous activities in Surveillance Cameras)
Description: -
Skills:  - 
Students Required: 3
Min CGPA: 0
Max CGPA: 0

"
19,5,3589,CSIR-Institute of Genomics & Integrative Biology,New delhi,Health Care,"A7 , Any , B1","ContactDetailsForBoys: 
TillTime:  6:00PM
Medical: -
FieldTA: -
Weekdays: 
StationFacilitiesId: 9242
RemarkforAccommodation: Not Applicable
CompanyId: 3306
OnOffice: -
StationAddress: South Campus, Mathura Road,
Opp: Sukhdev Vihar Bus Depot
New Delhi 110025

Stipend: 0
StipendForPG: 0
AccomAddressforGirls: Not Applicable
FacultyId: 0
Status: Active
ToOffice: -
OtherInfo: -
ContactDetailsForGirls: 
AccomAddressforBoys: Not Applicable
FieldDA: -
Stationary: -
SubsidizedLunch: -
Travel: -
StartTime:  9:00AM
Accomodation: Not Applicable
","Project: 0
Title: Pathogen Genomics
Description: Any specific courses that student should have undertaken: At least one degree in Biology/
have undertaken Chemistry/ Pharma * Other competencies : Biology Science undergraduates
Skills: Basic Programming,  , Biology with {Technical) interest in Genomics , Data visualization tools , java script , Python, R
Students Required: 2
Min CGPA: 0
Max CGPA: 0

Project: 1
Title: Computational analysis of Genomic Data
Description: Skill set required to execute the project : Basic programming skills and understanding of Biology 
Skills:  - 
Students Required: 2
Min CGPA: 0
Max CGPA: 0

Project: 2
Title: Artificial Intelligence in Medical Imaging
Description: Other competencies : Computer Science undergraduates
Skills: Good  Programming skills , Python, R
Students Required: 2
Min CGPA: 0
Max CGPA: 0

Project: 3
Title: Medical Data Curation
Description: Other competencies :- Basic Programming Skills. * Any specific courses that student should :- At least one degree in Biology/ Chemistry/ Pharma. * Skill set required : Understanding and appreciation of Biology
Skills:  - 
Students Required: 2
Min CGPA: 0
Max CGPA: 0

Project: 4
Title: Data Integration and Analysis
Description: Skill set required : Different approaches of extracting data from Biomedical literature Identifying different factors of human health and their characteristics. * Other comp: Basic Programming Skill in R. * Any Specific courses that student should have undertaken :- At least one degree in Biology / Chemistry / Pharma  
Skills:  - 
Students Required: 4
Min CGPA: 0
Max CGPA: 0

Project: 5
Title: Visualization of complex multidimensional biologycal data  
Description: Other Comp: Computer science background  
Skills: Data visualization tools , java script , Python
Students Required: 5
Min CGPA: 0
Max CGPA: 0

Project: 6
Title: Machine learning approaches in Ayurgenommics
Description: Other Comp: Computer Science background. * Skill set Required : Basic Understanding of Biology and genomics along with data integration and computational tools 
Skills:  - 
Students Required: 3
Min CGPA: 0
Max CGPA: 0

"
34,6,5944,Indian Institute Of Remote Sensing - Machine Learning/DSP/AI,Dehradun,Computer Science,"A3 , A8 , AA",Unavailable,"Project: 0
Title: Remote Sensing, Image analysis, Signal processing.
Description: Remote Sensing, Image analysis, Signal processing.

Skills:  - 
Students Required: 20
Min CGPA: 0
Max CGPA: 0

"
31,7,5631,Homi Bhabha Centre For Science Education - IoT - Web Development,Mumbai,IT,A7,Unavailable,"Project: 0
Title: IoT, web development and application development
Description: -
Skills:  - 
Students Required: 15
Min CGPA: 0
Max CGPA: 0

"
4,8,5512,BISAG-Software Development,Gandhinagar,Electronics,"A3 , A7 , C6",Unavailable,"Project: 0
Title: Software Development
Description: -
Skills:  - 
Students Required: 0
Min CGPA: 0
Max CGPA: 0

"
3,9,5911,Bhaskaracharya Institute For Space Applications And Geoinformatic - Embedded Systems/IoT,Gandhinagar,Electronics,"A3 , A8 , AA",Unavailable,"Project: 0
Title: IoT
Description: -
Skills:  - 
Students Required: 4
Min CGPA: 0
Max CGPA: 0

"
64,10,5953,Semi- conductor laboratoty - VLSI Design/Circuit Design,Mohali,Electronics,A3,Unavailable,"Project: 0
Title: Projects related to VLSI Design
Description: Projects related to VLSI Design

Skills:  - 
Students Required: 2
Min CGPA: 0
Max CGPA: 0

"
